part_a,part_b,similarity,distance,topology_distance,geometry_distance,shape_distance,size_distance,size_gate_failed,same_group
32,57,0.9999999999995021,4.979053116630756e-13,0.0,5.134255330587016e-15,2.4826282251765724e-12,6.406853007629828e-16,False,False
21,56,0.9999999999994988,5.011236376267291e-13,0.0,1.562355909998165e-14,2.485408011126608e-12,9.076375094142283e-16,False,True
37,52,0.9999999999994952,5.048253917852541e-13,0.0,2.898838126386143e-14,2.487317535097844e-12,7.6526299813356465e-16,False,True
25,58,0.999999999999492,5.080263163586478e-13,0.0,1.9962869777931578e-15,2.5373959660832113e-12,3.203426503814918e-16,False,True
45,55,0.9999999999994865,5.135198309517729e-13,0.0,4.6124785104981994e-15,2.5613797378660347e-12,6.050916729428173e-16,False,True
42,44,0.9999999999994841,5.159673499038232e-13,0.0,2.067859703482447e-14,2.5528939991701152e-12,1.4593387406267926e-15,False,False
25,39,0.999999999999475,5.250015649183157e-13,0.0,4.054906809740265e-15,2.618938120296961e-12,1.334761043256213e-15,False,True
39,42,0.999999999999459,5.410109435610022e-13,0.0,1.2115208955955579e-14,2.6887494645024337e-12,1.548322810177214e-15,False,True
34,38,0.9999999999994538,5.462809358068563e-13,0.0,9.20721775288476e-15,2.719602009413659e-12,3.9152990602182345e-16,False,True
53,57,0.9999999999994531,5.468475673031239e-13,0.0,9.994839953084381e-15,2.7213171630404223e-12,5.694980451226514e-16,False,False
38,53,0.9999999999994529,5.471250501983153e-13,0.0,1.7151687232996258e-15,2.73305416655361e-12,5.694980451226526e-16,False,True
38,51,0.9999999999994463,5.53699114226043e-13,0.0,6.150413528891751e-15,2.760647382893909e-12,2.1356176692099458e-16,False,False
33,52,0.999999999999446,5.540164909692132e-13,0.0,2.19785790377923e-14,2.7424223645027695e-12,2.4915539474116017e-16,False,True
32,38,0.9999999999994398,5.601650343390543e-13,0.0,7.435362188262592e-15,2.7910237597635057e-12,6.762789285831485e-16,False,True
33,48,0.9999999999994347,5.653404130062209e-13,0.0,5.529455319993456e-15,2.819016084476024e-12,1.032215206784804e-15,False,True
34,57,0.9999999999994252,5.747437841820032e-13,0.0,2.7342279919814263e-15,2.8699540980487923e-12,4.627171616621549e-16,False,False
47,57,0.9999999999994249,5.751150456049415e-13,0.0,1.7830901635938427e-14,2.8524857443538304e-12,1.06780883460497e-15,False,True
36,45,0.9999999999994247,5.753325110274979e-13,0.0,8.133371732250719e-15,2.86578841711925e-12,9.432311372343938e-16,False,True
52,56,0.9999999999994179,5.821206420222981e-13,0.0,1.8974721991863034e-14,2.885870389228787e-12,1.352557857166301e-15,False,True
38,47,0.9999999999994171,5.828566429260175e-13,0.0,7.739969323252465e-15,2.9037540059083378e-12,1.1389960902453068e-15,False,False
25,44,0.9999999999994114,5.886503715319736e-13,0.0,1.2399133624081018e-14,2.9268453031203526e-12,1.2101833458856333e-15,False,False
41,56,0.9999999999994094,5.906268268850599e-13,0.0,9.388092973853556e-15,2.9406915948550563e-12,9.43231137234394e-16,False,True
21,37,0.9999999999993896,6.103898168882432e-13,0.0,2.587081545919227e-14,3.018742970439109e-12,1.156792904155384e-15,False,True
23,44,0.9999999999993676,6.323831897588174e-13,0.0,9.338879101989047e-15,3.1499753977079492e-12,3.559362782016573e-16,False,False
33,37,0.9999999999993645,6.355398391054405e-13,0.0,9.38637471003481e-15,3.1654056275014913e-12,7.474661842234795e-16,False,True
31,42,0.9999999999993618,6.38190662989582e-13,0.0,9.743941473871777e-15,3.1783996550134586e-12,4.983107894823208e-16,False,True
32,41,0.9999999999993404,6.595559272124335e-13,0.0,6.150500186357529e-15,3.2899046442831648e-12,2.491553947411601e-16,False,False
23,28,0.9999999999993398,6.602470141657874e-13,0.0,6.6722291808986594e-15,3.2924943560398365e-12,5.339044173024859e-16,False,True
